"Store Address","Store Address"
"Pickup Stores are not available.","Pickup Stores are not available."
"Show All Pickup Stores","Show All Pickup Stores"
"Show Pickup Store Direction","Show Pickup Store Direction"
"Store Pickup","Store Pickup"
"Some issue occurring in getting latitude longitude.","Some issue occurring in getting latitude longitude."
"Geo Location is supported by your browser.","Geo Location is supported by your browser."
"Weekly Off","Weekly Off"
"Please select a day!","Please select a day!"
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thusday,Thusday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
"Field ","Field "
" is required."," is required."
Close,Close
"Person Name","Person Name"
Email,Email
Phone,Phone
Fax,Fax
Country,Country
State,State
City,City
Street,Street
Postcode,Postcode
"Latitude - ","Latitude - "
", Longitude - ",", Longitude - "
"Please provide latitude or longitude in proper format.","Please provide latitude or longitude in proper format."
"Pickup stores not found at this location.","Pickup stores not found at this location."
"Manage Stores","Manage Stores"
"Manage Holidays","Manage Holidays"
Title,Title
"Method Name","Method Name"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Within Range (Kilometers)","Within Range (Kilometers)"
"By default is 15. Minimum 1 and Maximum 50.","By default is 15. Minimum 1 and Maximum 50."
"Show Pickup Stores Page","Show Pickup Stores Page"
"Distance Provider must be set to Google Map [Catalog > Inventory > Google Distance Provider]. Google Direction Api and Google Maps Api must be enabled.","Distance Provider must be set to Google Map [Catalog > Inventory > Google Distance Provider]. Google Direction Api and Google Maps Api must be enabled."
"Enable Address Search","Enable Address Search"
"Google places api must be enabled. Work only on non-ssl server.","Google places api must be enabled. Work only on non-ssl server."
"Enabled Scheduling Emails","Enabled Scheduling Emails"
"Order Scheduling Template","Order Scheduling Template"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"Purchase Point","Purchase Point"
"Purchase Date","Purchase Date"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
Status,Status
"Shipping Information","Shipping Information"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
Subtotal,Subtotal
"Customer Name","Customer Name"
"Payment Method","Payment Method"
"Total Refunded","Total Refunded"
"All Store Views","All Store Views"
"Store View","Store View"
Thumbnail,Thumbnail
Type,Type
"Attribute Set","Attribute Set"
SKU,SKU
Price,Price
Visibility,Visibility
"Created At","Created At"
"General Information","General Information"
"Store Info","Store Info"
"Store Name","Store Name"
Description,Description
"Description will not show on frontend.","Description will not show on frontend."
"Store Timing","Store Timing"
"Urgent Closed","Urgent Closed"
"This option will show store as ""Closed"" to customers. Use this option, if you are closing your store at un-scheduled timing. This option will keep your store closed until you turn off this option.","This option will show store as ""Closed"" to customers. Use this option, if you are closing your store at un-scheduled timing. This option will keep your store closed until you turn off this option."
"Store Holidays","Store Holidays"
"Holidays List","Holidays List"
Mobile,Mobile
"Address Data","Address Data"
State/Province,State/Province
"Product Assignment","Product Assignment"
"Assign Products","Assign Products"
Id,Id
"Add Products","Add Products"
"Add Store","Add Store"
Enable,Enable
"Are you sure want to enable Store(s) ?","Are you sure want to enable Store(s) ?"
Disable,Disable
"Are you sure want to disable Store(s) ?","Are you sure want to disable Store(s) ?"
"Are you sure want to delete Store(s) ?","Are you sure want to delete Store(s) ?"
General,General
"Holiday Name","Holiday Name"
"Add New Holiday","Add New Holiday"
"Pickup Order","Pickup Order"
